Item_ID,ItemName,SectionID
1,Section Item 6,1
2,Section Item 2,1
3,Section Item 6,1
1,Section Item 4,2
2,Section Item 5,2
3,Section Item 6,2
1,Section Item 4,3
2,Section Item 1,3
3,Section Item 3,3
1,Section Item 5,4
2,Section Item 5,4
3,Section Item 6,4
1,Section Item 2,5
2,Section Item 3,5
3,Section Item 3,5
1,Section Item 4,6
2,Section Item 1,6
3,Section Item 2,6
1,Section Item 1,7
2,Section Item 2,7
3,Section Item 1,7
1,Section Item 6,8
2,Section Item 4,8
3,Section Item 5,8
1,Section Item 4,9
2,Section Item 1,9
3,Section Item 2,9
1,Section Item 2,10
2,Section Item 4,10
3,Section Item 1,10
1,Section Item 2,11
2,Section Item 4,11
3,Section Item 4,11
1,Section Item 4,12
2,Section Item 2,12
3,Section Item 5,12
1,Section Item 2,13
2,Section Item 2,13
3,Section Item 2,13
1,Section Item 5,14
2,Section Item 1,14
3,Section Item 3,14
1,Section Item 5,15
2,Section Item 5,15
3,Section Item 3,15
1,Section Item 6,16
2,Section Item 2,16
3,Section Item 6,16
1,Section Item 2,17
2,Section Item 6,17
3,Section Item 6,17
1,Section Item 1,18
2,Section Item 5,18
3,Section Item 2,18
1,Section Item 2,19
2,Section Item 1,19
3,Section Item 6,19
1,Section Item 3,20
2,Section Item 6,20
3,Section Item 5,20
1,Section Item 6,21
2,Section Item 3,21
3,Section Item 4,21
1,Section Item 6,22
2,Section Item 5,22
3,Section Item 5,22
1,Section Item 5,23
2,Section Item 5,23
3,Section Item 3,23
1,Section Item 4,24
2,Section Item 6,24
3,Section Item 4,24
1,Section Item 4,25
2,Section Item 2,25
3,Section Item 1,25
1,Section Item 5,26
2,Section Item 5,26
3,Section Item 4,26
1,Section Item 3,27
2,Section Item 5,27
3,Section Item 4,27
1,Section Item 5,28
2,Section Item 4,28
3,Section Item 3,28
1,Section Item 3,29
2,Section Item 6,29
3,Section Item 3,29
1,Section Item 1,30
2,Section Item 3,30
3,Section Item 6,30
1,Section Item 5,31
2,Section Item 1,31
3,Section Item 2,31
1,Section Item 4,32
2,Section Item 1,32
3,Section Item 1,32
1,Section Item 4,33
2,Section Item 6,33
3,Section Item 6,33
1,Section Item 6,34
2,Section Item 1,34
3,Section Item 3,34
1,Section Item 6,35
2,Section Item 4,35
3,Section Item 5,35
1,Section Item 1,36
2,Section Item 5,36
3,Section Item 3,36
1,Section Item 3,37
2,Section Item 6,37
3,Section Item 3,37
1,Section Item 2,38
2,Section Item 2,38
3,Section Item 5,38
1,Section Item 1,39
2,Section Item 6,39
3,Section Item 3,39
1,Section Item 2,40
2,Section Item 6,40
3,Section Item 4,40
1,Section Item 1,41
2,Section Item 1,41
3,Section Item 6,41
1,Section Item 3,42
2,Section Item 5,42
3,Section Item 5,42
1,Section Item 4,43
2,Section Item 4,43
3,Section Item 1,43
1,Section Item 5,44
2,Section Item 2,44
3,Section Item 3,44
1,Section Item 5,45
2,Section Item 3,45
3,Section Item 2,45
1,Section Item 4,46
2,Section Item 6,46
3,Section Item 2,46
1,Section Item 4,47
2,Section Item 2,47
