ID Number,Assignment_Name,Assignment_Grade
323075,SOCI897Presentation,81
641126,SOWK000Assignment 2,73
624354,GOVT767Assignment 1,78
326943,SOCI063Final Assessment,79
690828,GOVT690Assignment 1,64
957360,SOWK417Assignment 1,68
897076,SOWK030Assignment 2,80
608132,GOVT867Presentation,94
416975,GOVT736Project 1,98
610989,GOVT249Project 1,77
430302,SOCI671Assignment 1,70
561315,SOCI193Final Assessment,96
490705,SOWK743Assignment 1,93
311075,GOVT666Assignment 1,84
487029,SOCI572Assignment 1,72
849307,SOCI710Assignment 1,73
640934,GOVT941Project 1,79
708414,SOCI259Presentation,94
583138,GOVT083Final Assessment,84
171083,SOWK407Project 1,99
509078,SOCI247Project 1,93
895950,GOVT426Assignment 1,62
313261,SOWK843Final Assessment,99
447986,GOVT094Assignment 2,87
735107,SOCI611Project 1,99
148533,GOVT664Presentation,92
517940,SOWK965Presentation,82
391758,GOVT877Assignment 1,70
748909,GOVT698Presentation,80
620891,SOWK642Assignment 1,95
340167,SOCI437Assignment 1,62
574932,SOWK360Presentation,93
378282,SOCI850Final Assessment,82
475608,GOVT379Presentation,61
320566,GOVT499Project 1,93
746087,SOWK157Presentation,72
182265,SOCI369Project 1,63
589448,SOCI693Presentation,84
271788,SOCI613Project 1,64
945938,SOCI184Assignment 2,95
614374,SOWK178Final Assessment,62
274429,GOVT192Project 1,78
753282,SOCI200Assignment 1,68
750197,SOCI261Project 1,84
663950,SOWK943Presentation,90
536339,SOWK516Presentation,92
346007,GOVT841Project 1,93
588517,SOWK689Assignment 1,80
975783,SOCI753Assignment 1,83
709912,SOCI242Assignment 1,77
770494,GOVT898Assignment 1,80
318998,GOVT653Assignment 1,67
529026,SOCI785Assignment 2,61
904038,GOVT446Assignment 2,95
838538,SOCI737Final Assessment,61
127614,SOWK663Final Assessment,74
462803,SOWK795Presentation,90
955468,GOVT960Presentation,89
224218,SOCI242Assignment 1,95
474195,GOVT359Presentation,87
837564,GOVT119Assignment 2,82
176943,SOWK568Project 1,65
210972,GOVT869Assignment 2,84
509420,SOWK148Assignment 1,98
406078,GOVT311Presentation,62
534733,GOVT717Presentation,62
910441,SOWK191Final Assessment,95
704885,GOVT344Project 1,80
426753,GOVT143Assignment 2,73
826212,SOWK506Final Assessment,69
797820,GOVT866Final Assessment,79
566950,GOVT560Assignment 2,92
952391,SOWK991Assignment 2,66
549274,SOCI398Assignment 2,93
187090,GOVT050Project 1,86
586845,SOCI848Assignment 2,84
248887,GOVT697Assignment 2,81
599478,GOVT682Final Assessment,62
698836,SOWK223Presentation,77
155986,SOWK479Presentation,75
593795,GOVT275Project 1,63
563007,SOWK688Project 1,94
474155,GOVT316Assignment 2,64
115228,GOVT623Final Assessment,72
428834,GOVT034Presentation,98
872007,SOCI170Presentation,72
963726,SOWK865Project 1,99
199090,GOVT095Final Assessment,77
365963,SOWK407Project 1,61
533529,SOCI485Final Assessment,65
693166,SOWK793Project 1,96
448917,SOWK794Final Assessment,98
265667,SOCI132Project 1,88
370819,SOWK199Project 1,85
292362,SOWK970Presentation,94
642009,SOWK154Assignment 1,88
491258,SOCI719Project 1,84
873297,GOVT418Presentation,80
393512,SOCI142Assignment 1,70
564212,SOWK939Presentation,82
858409,GOVT398Assignment 2,84
181544,SOWK425Assignment 1,93
815592,SOCI450Presentation,98
164865,SOWK509Final Assessment,60
664321,SOCI941Presentation,96
315322,SOCI695Project 1,98
263667,GOVT273Project 1,61
544909,SOWK671Assignment 2,63
209448,SOCI769Assignment 2,68
505220,SOWK857Final Assessment,93
260725,SOCI835Assignment 2,89
265674,GOVT834Final Assessment,84
829094,SOWK583Final Assessment,97
388116,SOWK912Assignment 2,71
533912,GOVT587Project 1,60
528380,SOWK445Final Assessment,84
207474,GOVT595Assignment 1,65
742211,GOVT406Assignment 1,97
296470,SOCI326Presentation,66
294448,GOVT695Final Assessment,70
411690,SOCI791Project 1,63
345885,GOVT884Assignment 1,77
686345,SOWK226Assignment 2,67
342880,SOWK685Presentation,97
576166,GOVT603Presentation,85
706444,GOVT692Presentation,89
964236,SOWK900Assignment 2,79
498931,SOCI572Presentation,70
923513,SOCI152Project 1,84
735723,SOWK500Assignment 1,80
648691,GOVT936Assignment 2,82
495340,SOCI248Assignment 1,79
571552,GOVT516Assignment 2,67
712182,SOCI640Assignment 2,86
441262,SOCI140Project 1,89
662279,SOWK769Assignment 2,83
307566,SOCI688Assignment 2,85
658402,GOVT121Assignment 2,91
907498,SOCI141Presentation,94
245987,GOVT514Assignment 1,61
590381,SOWK354Assignment 1,100
266886,SOWK667Presentation,87
587943,SOCI190Assignment 1,87
752729,GOVT466Assignment 1,64
566514,SOWK494Final Assessment,98
910116,GOVT384Final Assessment,79
896384,SOCI849Presentation,76
653942,GOVT925Final Assessment,97
792827,GOVT003Final Assessment,96
610132,SOCI615Project 1,66
519789,SOWK216Presentation,85
575098,SOWK664Final Assessment,87
619908,GOVT087Final Assessment,100
258305,GOVT427Assignment 2,70
665795,SOWK227Final Assessment,87
818030,GOVT902Final Assessment,88
832609,SOWK719Presentation,92
101951,SOWK102Assignment 2,87
882781,SOWK606Assignment 1,93
118439,SOCI866Presentation,98
938731,SOCI676Presentation,93
666761,SOCI445Assignment 1,95
488430,GOVT338Presentation,82
911187,SOCI720Assignment 2,82
730106,SOCI245Assignment 1,98
299121,GOVT520Presentation,81
175493,SOWK130Presentation,74
890582,SOWK920Final Assessment,67
210666,SOCI454Final Assessment,87
140057,SOWK340Project 1,76
662664,GOVT286Final Assessment,73
894475,SOWK881Assignment 1,61
476853,SOWK748Final Assessment,97
899350,SOWK391Assignment 1,63
706156,SOCI246Presentation,86
960194,GOVT149Project 1,90
856876,SOWK909Assignment 2,86
992157,GOVT701Assignment 1,99
477263,GOVT263Project 1,65
217788,SOWK203Presentation,67
606843,GOVT167Final Assessment,72
356540,SOWK437Assignment 2,63
289600,GOVT450Assignment 1,67
317806,SOWK678Assignment 2,77
654847,GOVT950Final Assessment,85
172943,SOWK796Presentation,78
180053,SOWK748Project 1,63
159634,GOVT902Assignment 2,81
831333,SOWK331Presentation,65
983883,GOVT977Presentation,94
256672,SOCI786Assignment 2,85
441592,SOWK280Project 1,92
778157,GOVT912Final Assessment,63
346000,SOWK103Assignment 2,72
635427,GOVT744Final Assessment,98
939341,SOWK675Presentation,96
738181,SOCI964Presentation,83
671992,SOWK266Project 1,62
453334,GOVT330Final Assessment,66
393648,SOCI189Project 1,98
620430,SOCI254Final Assessment,81
404148,GOVT848Presentation,69
666234,GOVT019Final Assessment,67
344414,SOWK886Project 1,70
327945,GOVT012Assignment 1,74
836787,SOCI603Final Assessment,86
106818,GOVT344Project 1,90
575949,SOWK163Assignment 2,68
340236,GOVT556Project 1,80
853415,SOCI748Assignment 2,79
330081,GOVT162Project 1,65
764217,SOWK636Presentation,64
299822,SOWK194Final Assessment,70
453953,SOCI182Assignment 2,83
932703,SOWK785Presentation,84
851078,GOVT145Final Assessment,73
806659,SOWK171Assignment 2,70
706985,SOCI885Final Assessment,93
610952,SOWK167Final Assessment,71
948998,SOCI991Final Assessment,94
241964,SOCI327Assignment 1,99
287575,SOWK227Assignment 2,96
852106,GOVT828Assignment 2,99
393810,SOCI604Project 1,75
629567,SOCI478Final Assessment,87
582917,SOCI281Assignment 2,95
917395,SOCI284Project 1,79
538317,GOVT507Final Assessment,72
343224,SOCI909Final Assessment,97
974511,SOWK969Presentation,99
422003,SOCI931Final Assessment,60
495301,SOCI812Final Assessment,93
978463,SOWK243Assignment 2,60
427791,SOCI949Presentation,75
849251,SOWK241Assignment 2,96
353254,SOCI205Assignment 2,95
611264,GOVT410Final Assessment,61
890391,GOVT867Project 1,78
926715,SOWK960Final Assessment,75
787828,SOCI565Presentation,80
920653,GOVT847Project 1,79
679508,GOVT393Project 1,87
715664,SOWK636Assignment 2,95
865526,SOWK073Final Assessment,63
127779,SOCI027Presentation,85
400400,SOWK521Assignment 1,67
149135,SOWK104Assignment 2,75
731039,SOCI770Assignment 2,100
508114,SOCI676Assignment 1,61
827320,SOWK925Project 1,87
858797,GOVT347Project 1,95
530267,SOCI264Presentation,75
361142,SOWK952Project 1,62
913306,GOVT963Assignment 1,81
694634,GOVT270Presentation,92
697496,SOWK386Assignment 2,89
487009,SOWK762Assignment 2,93
790587,SOWK578Project 1,77
118268,GOVT822Final Assessment,74
765643,SOWK879Final Assessment,69
642298,SOWK004Presentation,90
529673,SOWK886Assignment 2,100
460054,SOWK467Presentation,85
866946,SOWK487Presentation,81
393358,SOWK508Project 1,68
863662,SOWK231Presentation,89
722118,SOWK860Assignment 2,72
772288,GOVT494Assignment 1,90
348844,SOWK557Project 1,67
291398,SOCI458Assignment 2,94
790857,SOCI673Assignment 1,95
817226,SOWK385Assignment 2,61
919271,GOVT176Assignment 2,90
569891,SOWK396Assignment 2,78
325339,GOVT292Final Assessment,75
313971,SOCI370Final Assessment,61
112253,SOCI877Assignment 2,95
270738,SOWK945Assignment 2,75
996354,SOCI913Assignment 2,93
954494,SOCI293Final Assessment,80
453821,GOVT815Final Assessment,76
864685,SOWK012Project 1,63
288935,SOWK731Project 1,71
734873,GOVT662Project 1,74
679420,SOWK978Final Assessment,63
316622,SOWK284Project 1,86
374696,SOWK321Final Assessment,96
903765,GOVT971Final Assessment,86
790269,SOWK929Final Assessment,86
285256,SOWK440Project 1,98
266570,GOVT598Project 1,90
733736,SOWK636Project 1,96
792132,GOVT315Project 1,82
641473,SOCI145Final Assessment,76
919852,SOWK486Assignment 1,66
478680,SOWK856Presentation,72
997453,SOWK918Assignment 2,84
978444,SOWK872Project 1,94
518704,SOCI268Project 1,75
128782,SOWK113Final Assessment,70
655698,SOCI079Assignment 2,95
850646,SOWK830Assignment 2,76
360970,GOVT534Project 1,71
196862,SOCI317Assignment 2,70
221290,SOWK896Final Assessment,82
335123,SOCI947Assignment 2,85
289383,SOWK219Final Assessment,75
861223,SOWK778Final Assessment,87
315542,SOCI174Presentation,60
557505,SOCI795Presentation,69
638150,GOVT111Project 1,71
860488,GOVT701Assignment 1,90
646167,GOVT099Presentation,73
268990,SOCI735Assignment 2,88
708231,GOVT725Presentation,96
525724,GOVT369Presentation,90
409016,SOWK006Project 1,91
178953,SOWK681Final Assessment,65
860297,SOWK607Assignment 1,71
597535,SOCI888Assignment 2,98
235196,SOCI820Presentation,91
875810,GOVT055Assignment 1,98
798566,SOWK946Final Assessment,69
897521,SOCI198Presentation,100
895884,SOWK205Final Assessment,95
374388,SOCI112Assignment 1,71
541887,SOCI161Project 1,75
153120,GOVT258Project 1,61
227851,SOWK365Assignment 1,94
835381,SOWK711Assignment 1,78
973462,SOWK556Assignment 2,63
